Vivado Simulator 2018.3
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module myRom_tb.U.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
address = 0348, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0352, data = 00, clk = 1
address = 0352, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 035c, data = 00, clk = 0
address = 035c, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0366, data = 00, clk = 1
address = 0366, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0370, data = 00, clk = 0
address = 0370, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 037a, data = 00, clk = 1
address = 037a, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0384, data = 00, clk = 0
address = 0384, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 038e, data = 00, clk = 1
address = 038e, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0398, data = 00, clk = 0
address = 0398, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 03a2, data = 00, clk = 1
address = 03a2, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 03ac, data = 00, clk = 0
address = 03ac, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 03b6, data = 00, clk = 1
address = 03b6, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 03c0, data = 00, clk = 0
address = 03c0, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 03ca, data = 00, clk = 1
address = 03ca, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 03d4, data = 00, clk = 0
address = 03d4, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 03de, data = 00, clk = 1
address = 03de, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 03e8, data = 00, clk = 0
address = 03e8, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 03f2, data = 00, clk = 1
address = 03f2, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 03fc, data = 00, clk = 0
address = 03fc, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0406, data = 00, clk = 1
address = 0406, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0410, data = 00, clk = 0
address = 0410, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 041a, data = 00, clk = 1
address = 041a, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0424, data = 00, clk = 0
address = 0424, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 042e, data = 00, clk = 1
address = 042e, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0438, data = 00, clk = 0
address = 0438, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0442, data = 00, clk = 1
address = 0442, data = 00, clk = 0
address = 0000, data = 00, clk = 0
